Giro empresa,Empresa Exportadora,País destino,Producto
ALIMENTO PARA ANIMALES,MALTA TEXO DE MÉXICO S.A DE C.V (JALISCO),NICARAGUA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (CUAUTITLÁN),NICARAGUA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NUEVA TECNOLOGÍA EN ALIMENTACIÓN S.A. DE C.V. (FUENTES),NICARAGUA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (SILAO),NICARAGUA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NUEVA TECNOLOGÍA EN ALIMENTACIÓN S.A. DE C.V. (GALERAS),NICARAGUA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EURO-NUTEC PREMIX, S.A. DE C.V.",NICARAGUA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (SILAO),NICARAGUA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EFFEM MÉXICO, INC Y COMPAÑÍA S. EN N.C. DE C.V. (JALISCO)",REPUBLICA DOMINICANA,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EFFEM MÉXICO, INC Y COMPAÑÍA S. EN N.C. DE C.V. (QUÉRETARO)",REPUBLICA DOMINICANA,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,MALTA TEXO DE MÉXICO S.A DE C.V (MORELOS),REPUBLICA DOMINICANA,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,MALTA TEXO DE MÉXICO S.A DE C.V (JALISCO),REPUBLICA DOMINICANA,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (CUAUTITLÁN),REPUBLICA DOMINICANA,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NUEVA TECNOLOGÍA EN ALIMENTACIÓN S.A. DE C.V. (FUENTES),REPUBLICA DOMINICANA,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (SILAO),REPUBLICA DOMINICANA,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NUEVA TECNOLOGÍA EN ALIMENTACIÓN S.A. DE C.V. (GALERAS),REPUBLICA DOMINICANA,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EURO-NUTEC PREMIX, S.A. DE C.V.",REPUBLICA DOMINICANA,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (SILAO),PANAMÁ,ALIMENTO PARA CONSUMO ANIMAL
